mass, logp, h_d, h_a, rot_b, tpsa, target
293.41, 3.18, 2, 2, 4, 32.26, cns
186.17, 1.53, 2, 4, 1, 88.04, antineoplastic
172.25, 1.35, 1, 2, 0, 43.37, cns
689.09, 10.69, 1, 6, 28, 64.04, antiinfective
596.48, 8.35, 0, 6, 0, 77.34, antiinfective
117.15, 1.87, 0, 3, 5, 38.66, cardio
847.02, 4.62, 5, 14, 4, 205.55, antiinfective
320.47, 5.43, 1, 2, 14, 49.83, cardio
200.22, 1.39, 3, 4, 2, 66.76, cns
520.39, 5.3, 2, 4, 7, 96.3, antineoplastic
446.59, 4.35, 1, 3, 8, 69.23, cns
404.93, 5.56, 2, 4, 5, 74.6, antineoplastic
294.4, 3.77, 0, 3, 1, 25.24, cardio
318.5, 4.6, 1, 2, 1, 37.3, cns
238.74, 1.87, 1, 1, 2, 33.68, cns
325.41, 2.56, 1, 4, 4, 49.77, cardio
357.45, 3.49, 0, 5, 6, 40.16, cns
1085.16, -0.25, 11, 24, 15, 358.2, antineoplastic
557.61, 0.83, 2, 14, 10, 180.97, antiinfective
480.57, -1.28, 2, 10, 7, 150.04, antiinfective
809.86, 3.17, 3, 16, 7, 206.05, antineoplastic
269.13, 2.92, 2, 4, 1, 77.82, antineoplastic
271.28, 0.87, 2, 5, 4, 80.32, antiinfective
530.66, 3.01, 4, 8, 3, 129.59, cardio
1024.15, -1.63, 6, 28, 16, 381.62, antiinfective
313.69, -2.44, 5, 8, 9, 159.76, antineoplastic
1497.47, 4.96, 10, 20, 14, 447.36, antineoplastic
383.47, -0.31, 3, 6, 5, 110.18, antiinfective
769.97, 6.07, 3, 12, 4, 154.73, antiinfective
807.89, 3.26, 5, 14, 8, 224.45, antineoplastic
589.05, -1.87, 8, 6, 11, 236.6, cns
313.42, 1.13, 2, 4, 8, 78.51, cardio
435.53, 4.16, 2, 5, 10, 112.07, cardio
606.64, 7.42, 0, 3, 8, 43.86, cns
477.6, -3.33, 8, 12, 8, 199.73, antiinfective
348.4, -1.02, 2, 6, 4, 115.56, antiinfective
1648.88, 0.51, 17, 31, 11, 562.74, antineoplastic
170.16, 0.75, 1, 3, 4, 63.6, antiinfective
490.65, 4.05, 3, 8, 17, 137.47, antineoplastic
1081.29, -1.94, 12, 12, 32, 414.6, cns
611.64, -0.72, 4, 12, 9, 215.33, antiinfective
234.32, 1.06, 1, 2, 3, 42.91, cns
367.52, 3.5, 0, 4, 9, 24.94, cns
416.38, 0.39, 6, 9, 3, 160.82, cardio
582.87, 6.94, 4, 6, 12, 82.98, cardio
253.25, -1.06, 4, 5, 3, 113.01, antineoplastic
700.76, 0.62, 6, 13, 7, 202.95, antineoplastic
183.19, -0.83, 1, 3, 2, 81.59, cns
514.66, 6.14, 1, 7, 13, 87.36, antiinfective
263.26, -1.3, 0, 7, 2, 91.15, antiinfective
158.16, -1.94, 2, 3, 2, 83.63, cns
690.67, -0.35, 4, 16, 8, 259.75, antiinfective
254.33, 2.03, 2, 2, 1, 39.26, cns
1082.38, 6.65, 4, 24, 15, 314.14, antiinfective
357.89, 3.18, 3, 2, 6, 50.84, antiinfective
457.43, -3.11, 7, 12, 7, 202.32, antineoplastic
218.13, 2.97, 0, 1, 5, 3.24, antineoplastic
1906.33, 3.5, 23, 17, 48, 620.71, antiinfective
204.27, 0.99, 1, 2, 3, 46.33, cns
363.65, -0.16, 3, 10, 1, 154.84, antineoplastic
271.5, 1.38, 0, 0, 0, 0.0, antiinfective
687.87, 1.91, 3, 13, 6, 165.98, antiinfective
1227.4, -6.98, 16, 19, 25, 512.85, cardio
153.18, 0.6, 3, 3, 2, 66.48, cardio
336.39, 2.83, 2, 3, 1, 73.4, cardio
226.23, -0.05, 5, 5, 4, 115.81, cns
242.24, -0.38, 1, 6, 0, 68.1, antineoplastic
244.29, 2.67, 0, 4, 4, 44.12, cns
1155.45, 5.04, 6, 12, 10, 236.42, cardio
1141.47, 1.23, 10, 12, 16, 325.46, antiinfective
358.36, -0.24, 5, 10, 4, 151.57, cardio
406.91, 6.61, 2, 2, 2, 40.46, antiinfective
412.52, 0.74, 5, 7, 1, 127.45, cardio
540.56, -2.59, 2, 14, 9, 210.57, antiinfective
431.36, 1.75, 0, 10, 6, 64.6, antineoplastic
519.51, -3.51, 9, 9, 17, 274.55, antineoplastic
548.67, 2.43, 3, 9, 5, 131.75, cardio
434.47, 2.35, 1, 4, 4, 86.37, antineoplastic
707.87, 4.99, 0, 12, 13, 110.16, cardio
131.39, 2.5, 0, 0, 0, 0.0, cns
193.25, 2.23, 1, 3, 4, 52.32, cns
460.49, -1.24, 3, 7, 5, 150.98, antiinfective
695.06, 0.4, 9, 13, 4, 293.52, antiinfective
828.01, 3.01, 3, 16, 12, 206.05, antiinfective
424.99, 0.39, 4, 7, 7, 102.26, antiinfective
212.25, 3.03, 1, 2, 1, 37.91, cns
468.59, 3.31, 0, 6, 10, 60.47, cardio
924.09, 0.71, 12, 17, 3, 319.61, antiinfective
242.71, 3.58, 1, 2, 2, 49.81, cns
314.11, 1.06, 0, 2, 4, 47.58, antineoplastic
569.61, -7.52, 12, 16, 9, 297.72, antiinfective
404.66, 6.42, 0, 3, 3, 18.46, antineoplastic
288.3, 0.1, 2, 6, 4, 82.54, antineoplastic
370.34, 1.4, 1, 8, 4, 106.26, antiinfective
439.02, 0.83, 5, 7, 9, 111.05, antiinfective
978.6, 5.19, 4, 15, 15, 248.14, antineoplastic
265.24, 1.35, 2, 6, 2, 85.22, antineoplastic
429.52, 3.22, 2, 5, 3, 70.0, cns
284.38, 1.41, 0, 5, 3, 49.85, cardio
665.73, 0.12, 7, 13, 3, 230.99, antiinfective
300.75, 3.37, 0, 2, 1, 40.62, cns
454.47, -1.96, 2, 12, 7, 176.34, antiinfective
510.48, -0.17, 2, 12, 9, 189.06, antiinfective
447.54, 2.97, 2, 9, 5, 105.04, antineoplastic
687.87, 1.91, 3, 13, 6, 165.98, antiinfective
177.25, 0.98, 2, 1, 2, 36.42, cardio
460.49, -1.24, 3, 7, 5, 150.98, antiinfective
404.93, 5.56, 2, 4, 5, 74.6, antineoplastic
258.45, 0.95, 4, 4, 15, 48.12, antineoplastic
645.8, 1.11, 7, 9, 7, 199.95, cns
618.78, 5.12, 5, 6, 12, 145.86, cns
323.29, -1.3, 5, 5, 8, 158.82, antiinfective
1449.27, 0.11, 19, 25, 13, 530.49, antiinfective
440.59, 2.52, 0, 7, 5, 88.51, antiinfective
263.22, 0.16, 1, 6, 2, 88.05, antineoplastic
401.89, 2.55, 1, 6, 6, 89.69, antineoplastic
151.16, 1.35, 2, 2, 1, 49.33, cns
444.44, -0.37, 6, 9, 2, 181.62, antiinfective
511.58, 0.84, 2, 12, 7, 162.51, antiinfective
144.22, 0.25, 2, 2, 6, 55.12, cns
405.43, -0.01, 3, 7, 6, 139.03, antiinfective
911.33, -5.49, 6, 32, 16, 494.65, cardio
383.58, 5.24, 1, 3, 6, 40.54, cns
144.18, 1.82, 1, 2, 0, 38.91, antiinfective
1612.18, 3.86, 14, 30, 24, 401.8, antiinfective
379.46, 2.97, 2, 5, 5, 73.49, antiinfective
654.71, 3.12, 3, 10, 7, 144.28, antineoplastic
441.58, 1.98, 2, 6, 11, 104.81, cardio
296.2, -0.8, 3, 6, 2, 104.55, antiinfective
443.64, 3.47, 0, 5, 5, 43.86, cns
211.26, 1.21, 1, 4, 5, 53.71, cns
589.86, 3.05, 2, 10, 6, 151.94, antiinfective
793.95, 1.61, 5, 15, 8, 218.82, cardio
146.14, -1.49, 2, 4, 3, 65.52, antineoplastic
338.32, -2.13, 1, 8, 5, 139.63, antiinfective
2194.61, 6.63, 24, 38, 20, 719.08, antiinfective
556.74, 5.76, 3, 6, 16, 121.13, antineoplastic
666.91, 5.48, 2, 4, 6, 46.94, cns
242.27, 2.91, 0, 3, 0, 43.37, antineoplastic
692.21, 3.53, 2, 10, 5, 156.47, antineoplastic
265.22, -2.89, 5, 8, 3, 151.92, antineoplastic
396.59, 0.24, 6, 4, 14, 177.58, antiinfective
439.02, 0.83, 5, 7, 9, 111.05, antiinfective
812.02, 4.93, 1, 14, 11, 171.85, antiinfective
417.51, 1.49, 0, 6, 7, 71.55, cardio
291.38, 1.22, 1, 4, 2, 62.3, cardio
289.54, 5.14, 1, 2, 2, 29.46, antiinfective
299.31, -1.32, 5, 9, 2, 142.44, antineoplastic
303.36, 0.92, 1, 5, 4, 62.3, cns
778.95, 4.75, 2, 11, 7, 133.87, antineoplastic
246.35, 2.19, 1, 2, 1, 36.1, cns
869.15, 3.34, 4, 15, 12, 186.15, antiinfective
544.51, 0.03, 6, 12, 5, 200.28, antineoplastic
505.57, 4.21, 1, 8, 7, 111.01, cardio
254.23, -2.19, 3, 9, 5, 142.37, antiinfective
138.01, -2.72, 1, 4, 2, 100.49, antiinfective
878.92, -1.91, 5, 17, 10, 312.01, antiinfective
460.49, -1.24, 3, 7, 5, 150.98, antiinfective
1203.5, -5.24, 18, 18, 29, 490.66, antiinfective
414.53, 3.37, 0, 6, 6, 59.08, cardio
875.11, 5.6, 3, 14, 8, 170.06, antiinfective
401.85, 3.3, 3, 6, 2, 94.14, antineoplastic
177.25, 2.41, 0, 1, 1, 26.07, cns
424.99, 0.39, 4, 7, 7, 102.26, antiinfective
146.26, 0.91, 0, 2, 0, 3.24, antineoplastic
539.59, -0.23, 3, 8, 6, 173.5, antiinfective
424.99, 0.39, 4, 7, 7, 102.26, antiinfective
298.38, 2.84, 0, 5, 1, 46.15, antiinfective
1648.88, 0.51, 17, 31, 11, 562.74, antineoplastic
814.9, 1.53, 6, 15, 9, 221.41, antineoplastic
481.58, 0.05, 3, 9, 7, 147.21, antiinfective
350.5, 4.34, 2, 3, 12, 66.76, cardio
263.36, 3.52, 0, 2, 5, 20.31, cns
522.57, -0.35, 2, 13, 8, 180.25, antiinfective
869.15, 3.34, 4, 15, 12, 186.15, antiinfective
594.18, 3.8, 5, 7, 9, 149.78, cardio
532.56, -1.89, 3, 8, 8, 190.88, antiinfective
326.44, 3.4, 1, 4, 4, 45.59, cardio
602.59, -0.93, 3, 13, 2, 190.95, cns
627.64, 1.55, 5, 13, 7, 204.3, antineoplastic
685.9, 1.47, 8, 8, 22, 223.26, antiinfective
569.61, -7.52, 12, 16, 9, 297.72, antiinfective
469.33, 2.58, 1, 7, 4, 119.06, antiinfective
295.3, 2.97, 2, 4, 3, 84.08, antiinfective
877.05, 4.74, 6, 15, 5, 216.66, antiinfective
455.47, -0.62, 3, 11, 7, 173.51, antiinfective
422.45, -2.22, 6, 9, 8, 215.67, antiinfective
415.83, 4.32, 4, 6, 4, 120.0, antineoplastic
390.44, 4.62, 1, 5, 7, 73.44, cns
245.37, 3.44, 0, 2, 5, 20.31, cns
543.53, 0.0, 6, 12, 5, 206.07, antineoplastic
548.63, 3.48, 3, 9, 12, 157.33, antiinfective
325.48, 4.3, 1, 1, 7, 29.1, cns
294.4, 3.77, 0, 3, 1, 25.24, cardio
243.39, 4.33, 0, 1, 2, 3.24, cns
230.39, 3.92, 1, 2, 13, 29.46, cardio
180.27, 1.31, 1, 1, 3, 36.87, cardio
226.23, -0.31, 3, 4, 4, 95.5, cns
439.48, -1.3, 1, 13, 7, 162.41, antiinfective
522.57, -3.16, 4, 13, 9, 205.1, antiinfective
204.23, 1.3, 1, 2, 2, 49.41, cns
453.46, -0.54, 4, 10, 8, 184.51, antiinfective
166.25, 1.28, 1, 2, 2, 38.91, antiinfective
237.25, 1.83, 1, 4, 4, 64.63, antiinfective
1269.43, -3.11, 17, 16, 31, 495.89, antineoplastic
454.7, 6.43, 3, 3, 7, 60.69, antineoplastic
285.28, 1.71, 0, 7, 5, 98.18, antiinfective
457.43, -3.11, 7, 12, 7, 202.32, antineoplastic
807.89, 3.26, 5, 14, 8, 224.45, antineoplastic
627.64, 1.55, 5, 13, 7, 204.3, antineoplastic
502.6, 5.04, 2, 8, 7, 108.47, antineoplastic
265.25, -1.53, 2, 5, 3, 130.24, antiinfective
294.4, 3.16, 1, 3, 3, 36.36, antiinfective
148.1, -2.56, 2, 6, 4, 119.05, antineoplastic
638.63, 0.27, 5, 14, 6, 216.31, antineoplastic
352.43, 3.18, 1, 4, 1, 54.56, cardio
356.44, 1.67, 2, 4, 2, 66.76, cns
289.3, -0.74, 0, 7, 3, 91.15, antiinfective
487.47, -0.16, 2, 9, 6, 174.23, antiinfective
926.11, 0.94, 12, 17, 3, 319.61, antiinfective
335.4, 1.19, 1, 6, 0, 76.07, antineoplastic
1087.25, 0.59, 4, 18, 6, 301.8, antiinfective
329.41, 4.76, 2, 5, 4, 73.63, antiinfective
375.66, 5.05, 1, 3, 3, 54.98, antiinfective
379.89, 1.6, 3, 5, 3, 118.36, cardio
191.19, 1.74, 2, 3, 1, 67.01, antiinfective
537.62, 5.61, 2, 7, 6, 94.72, antiinfective
656.66, 2.75, 3, 14, 6, 160.83, antineoplastic
315.46, 5.56, 1, 1, 7, 12.03, cardio
111.1, 0.38, 1, 2, 1, 56.23, antiinfective
352.39, 3.94, 2, 5, 4, 75.99, antineoplastic
616.76, 5.25, 5, 5, 12, 149.62, cns
334.78, 2.9, 2, 3, 6, 72.19, cns
328.5, 6.08, 0, 2, 6, 26.3, antineoplastic
527.52, -7.27, 11, 16, 6, 272.06, antiinfective
317.48, 5.77, 0, 1, 4, 3.24, antiinfective
435.56, 3.96, 3, 4, 1, 82.55, cardio
869.15, 3.34, 4, 15, 12, 186.15, antiinfective
113.07, -1.92, 1, 4, 1, 86.66, antiinfective
845.02, 4.6, 2, 15, 11, 197.87, antiinfective
669.67, -1.94, 4, 11, 12, 245.7, antiinfective
394.4, -0.07, 2, 6, 5, 102.42, antiinfective
163.17, -2.97, 5, 5, 1, 92.95, antiinfective
401.49, 3.41, 1, 7, 10, 74.73, antineoplastic
277.41, 4.17, 0, 1, 3, 3.24, cns
388.42, 3.2, 1, 7, 6, 107.77, cardio
363.65, -0.16, 3, 10, 1, 154.84, antineoplastic
525.64, -0.65, 3, 13, 10, 172.46, antiinfective
570.65, 5.91, 1, 6, 3, 77.73, antineoplastic
294.31, 2.78, 1, 4, 3, 72.19, antiinfective
813.98, 3.62, 0, 16, 9, 184.19, antiinfective
523.63, 5.53, 3, 7, 7, 126.68, antiinfective
414.48, 2.48, 2, 5, 5, 95.94, antiinfective
360.26, 0.28, 1, 6, 5, 121.83, cns
622.84, 4.69, 4, 9, 7, 134.91, antiinfective
284.34, 2.36, 2, 5, 2, 84.66, antineoplastic
778.95, 4.75, 2, 11, 7, 133.87, antineoplastic
627.64, 1.55, 5, 13, 7, 204.3, antineoplastic
174.16, 1.33, 1, 3, 0, 54.37, antineoplastic
534.58, -1.25, 5, 12, 6, 198.89, antiinfective
234.26, 2.73, 0, 2, 0, 32.67, antineoplastic
792.02, 4.47, 3, 12, 6, 178.36, antiinfective
438.46, 2.36, 3, 6, 8, 112.24, antiinfective
539.59, -0.23, 3, 8, 6, 173.5, antiinfective
304.33, 2.98, 3, 5, 5, 89.27, cns
72.06, -0.07, 0, 2, 0, 26.3, antiinfective
298.38, 2.84, 0, 5, 1, 46.15, antiinfective
417.51, 1.6, 2, 6, 8, 99.18, cardio
471.82, 1.99, 3, 11, 3, 154.84, cns
204.31, -0.29, 4, 4, 9, 64.52, antiinfective
231.3, 2.11, 2, 3, 3, 73.1, cardio
581.58, -8.16, 12, 15, 9, 336.43, antiinfective
403.82, 2.57, 3, 5, 5, 112.93, cardio
452.46, 1.93, 2, 9, 8, 108.25, antineoplastic
548.46, 1.85, 2, 10, 7, 134.49, antiinfective
132.16, 1.09, 0, 3, 0, 27.69, cns
308.31, 0.84, 1, 6, 3, 68.61, antiinfective
1008.18, -2.59, 14, 16, 18, 368.19, antiinfective
306.45, 3.72, 1, 4, 11, 55.56, cns
100.16, 1.77, 0, 1, 4, 17.07, antiinfective
321.88, 4.52, 1, 3, 2, 23.96, antiinfective
464.35, 4.96, 1, 3, 4, 61.77, cardio
361.45, -1.07, 4, 6, 8, 132.12, antineoplastic
294.4, 3.12, 0, 3, 4, 24.83, cns
440.95, 4.63, 1, 3, 5, 40.51, cns
183.21, 0.48, 4, 4, 2, 86.71, cardio
335.45, 4.31, 1, 2, 6, 40.54, cns
277.33, 2.4, 5, 2, 3, 115.53, antiinfective
170.21, -0.13, 1, 2, 3, 63.4, cns
169.2, 2.43, 0, 1, 1, 23.06, antiinfective
356.3, 3.35, 1, 5, 3, 81.47, cardio
870.0, -1.3, 10, 12, 27, 334.96, cns
511.57, -0.87, 3, 14, 8, 190.81, antiinfective
468.73, 6.82, 0, 4, 17, 24.94, cardio
811.88, 3.16, 4, 16, 9, 217.05, antineoplastic
428.53, 3.24, 0, 6, 11, 60.47, cardio
313.4, 3.19, 1, 4, 6, 39.72, cns
559.05, 3.4, 4, 11, 7, 194.25, antiinfective
508.62, 4.48, 1, 5, 7, 78.67, cardio
58.93, -0.0, 0, 0, 0, 0.0, antineoplastic
622.84, 4.69, 4, 9, 7, 134.91, antiinfective
747.96, 2.44, 4, 14, 8, 182.91, antiinfective
140.03, -0.75, 3, 2, 2, 94.83, antiinfective
284.79, 2.84, 1, 4, 9, 56.84, cns
207.28, 3.1, 1, 3, 8, 53.82, cardio
875.11, 5.6, 3, 14, 8, 170.06, antiinfective
246.35, 1.77, 1, 2, 5, 46.33, cns
292.45, 2.8, 2, 2, 2, 43.95, cns
313.29, 2.55, 0, 4, 2, 75.81, cns
372.42, 1.86, 4, 6, 8, 114.04, cardio
578.88, 8.15, 2, 6, 25, 93.06, antineoplastic
532.56, -1.89, 3, 8, 8, 190.88, antiinfective
810.98, 3.16, 7, 12, 16, 215.55, antiinfective
143.15, -1.3, 2, 4, 2, 78.92, antineoplastic
354.37, -1.44, 4, 10, 8, 171.37, antiinfective
342.16, -2.94, 6, 5, 9, 152.52, antineoplastic
173.17, -0.48, 3, 3, 2, 86.63, cns
208.69, 2.34, 1, 2, 1, 24.92, cns
749.0, 1.9, 5, 14, 7, 180.08, antiinfective
215.94, 0.38, 0, 6, 0, 162.64, cardio
235.25, 0.08, 2, 7, 2, 99.08, antiinfective
916.11, 1.83, 5, 18, 13, 238.67, antiinfective
370.45, 1.25, 3, 5, 3, 103.86, cns
277.41, 4.21, 1, 1, 4, 12.03, cns
196.26, 0.05, 1, 6, 3, 57.18, antineoplastic
353.47, 1.94, 2, 4, 4, 57.5, cardio
277.28, -0.83, 4, 7, 2, 130.05, antiinfective
634.73, 2.76, 5, 6, 12, 162.06, cns
1664.92, 0.77, 17, 31, 12, 562.74, antiinfective
1269.28, -4.24, 15, 24, 18, 512.97, antiinfective
374.51, 4.57, 2, 2, 3, 43.14, antineoplastic
835.09, 2.2, 5, 16, 12, 196.33, antiinfective
405.44, 2.36, 3, 5, 6, 70.95, cardio
310.4, 5.19, 0, 2, 4, 17.82, antiinfective
532.54, 1.65, 4, 8, 10, 169.85, antineoplastic
639.83, 5.73, 2, 9, 3, 116.04, antiinfective
243.33, 1.66, 1, 3, 4, 55.68, antiinfective
388.54, -2.24, 7, 5, 17, 182.5, antineoplastic
287.36, 1.42, 2, 4, 0, 52.93, cns
538.45, 4.19, 1, 8, 11, 90.88, antiinfective
492.62, 5.39, 0, 6, 7, 71.03, cns
302.14, -0.36, 1, 4, 2, 91.75, antiinfective
465.53, 1.3, 2, 9, 7, 137.26, antiinfective
600.54, 1.82, 1, 14, 10, 186.22, cardio
335.88, 3.78, 2, 4, 9, 48.39, antiinfective
126.16, 1.56, 0, 3, 0, 27.99, antiinfective
76.01, -0.09, 0, 3, 0, 87.61, cns
365.16, 2.65, 1, 1, 0, 26.02, antineoplastic
926.11, 0.94, 12, 17, 3, 319.61, antiinfective
244.22, -0.54, 2, 5, 2, 84.32, antiinfective
545.96, 6.39, 0, 0, 6, 0.0, cns
926.11, 0.94, 12, 17, 3, 319.61, antiinfective
690.86, 2.27, 2, 11, 7, 176.42, antiinfective
1664.92, 0.77, 17, 31, 12, 562.74, antiinfective
1276.5, -5.43, 18, 19, 23, 531.73, antiinfective
847.02, 4.62, 5, 14, 4, 205.55, antiinfective
334.42, 2.09, 0, 3, 0, 32.78, cns
640.8, 4.46, 3, 8, 12, 165.39, cardio
356.52, -0.09, 4, 2, 4, 82.0, cardio
246.31, 1.86, 1, 2, 3, 49.41, cns
327.82, 3.33, 1, 3, 4, 45.23, antineoplastic
548.67, 2.43, 3, 9, 5, 131.75, cardio
622.84, 4.69, 4, 9, 7, 134.91, antiinfective
1415.58, -7.7, 20, 31, 35, 627.07, antineoplastic
173.17, -0.35, 3, 3, 2, 100.62, cns
813.98, 2.77, 3, 16, 12, 206.05, antiinfective
812.02, 4.93, 1, 14, 11, 171.85, antiinfective
191.64, 1.12, 1, 2, 2, 46.17, antiinfective
337.19, -2.35, 0, 4, 2, 80.26, antineoplastic
269.11, -2.91, 0, 3, 1, 63.19, antineoplastic
246.35, 2.73, 1, 2, 2, 32.34, cns
167.2, 0.6, 3, 4, 0, 83.38, antineoplastic
375.51, 3.33, 3, 4, 3, 81.0, cns
405.97, 6.22, 0, 2, 9, 12.47, antineoplastic
1009.19, 4.69, 8, 16, 26, 286.99, cardio
368.47, 1.94, 2, 5, 8, 95.94, cardio
224.2, -1.96, 2, 7, 4, 121.88, antiinfective
51.45, -0.5, 0, 1, 0, 23.06, antiinfective
529.46, 1.66, 3, 10, 10, 158.18, antiinfective
1368.37, 3.2, 8, 27, 22, 308.44, antineoplastic
339.48, 3.36, 1, 3, 8, 59.22, cardio
663.41, 6.42, 3, 8, 22, 108.33, antiinfective
562.66, 4.79, 0, 7, 14, 113.04, cardio
654.84, 1.89, 9, 11, 5, 208.37, antiinfective
558.15, 6.36, 3, 8, 9, 105.24, antineoplastic
843.07, 2.33, 4, 16, 11, 195.38, antiinfective
287.34, 2.37, 1, 4, 3, 67.87, cardio
495.54, 3.37, 0, 8, 4, 90.85, cns
234.34, 3.16, 0, 2, 2, 34.14, antiinfective
416.65, 5.7, 3, 3, 6, 60.69, cardio
1009.19, 4.69, 8, 16, 26, 286.99, cardio
294.75, 3.27, 0, 4, 1, 43.07, cns
792.02, 4.47, 3, 12, 6, 178.36, antiinfective
298.38, 2.84, 0, 5, 1, 46.15, antiinfective
622.93, 7.86, 3, 7, 25, 105.45, antineoplastic
406.55, -0.86, 5, 8, 7, 122.49, antiinfective
247.34, 1.99, 2, 3, 6, 41.49, cardio
387.86, 3.65, 0, 4, 5, 48.0, antiinfective
261.36, 2.81, 0, 3, 3, 29.54, cns
1620.69, -5.62, 22, 24, 35, 702.02, antiinfective
531.55, -2.24, 2, 9, 8, 193.71, antiinfective
425.49, 0.53, 6, 9, 11, 131.67, antineoplastic
750.93, 4.84, 5, 13, 14, 170.13, cns
526.54, 1.13, 5, 11, 4, 191.63, antineoplastic
423.42, -0.0, 9, 9, 7, 219.59, cns
75.09, 0.67, 1, 3, 0, 44.02, antiinfective
256.35, 2.42, 0, 4, 3, 33.42, cardio
290.32, 2.57, 2, 5, 4, 85.25, antiinfective
546.59, -1.3, 3, 11, 9, 191.22, antiinfective
302.42, 2.62, 1, 3, 6, 41.57, antineoplastic
1440.59, -8.25, 22, 33, 39, 665.12, antineoplastic
740.91, 0.94, 5, 13, 3, 165.99, antineoplastic
1415.58, -7.7, 20, 31, 35, 627.07, antineoplastic
1415.58, -7.7, 20, 31, 35, 627.07, antineoplastic
556.74, 5.17, 2, 7, 1, 94.45, antiinfective
828.01, 3.01, 3, 16, 12, 206.05, antiinfective
843.06, 2.33, 4, 16, 11, 195.38, antiinfective
646.65, 5.42, 2, 7, 12, 104.14, antineoplastic
586.64, 2.43, 4, 8, 12, 181.98, cns
749.0, 1.9, 5, 14, 7, 180.08, antiinfective
514.59, -1.04, 2, 10, 7, 153.92, antiinfective
536.89, 12.94, 0, 0, 16, 0.0, antineoplastic
924.09, -1.34, 11, 17, 3, 324.06, antiinfective
556.74, 5.17, 2, 7, 1, 94.45, antiinfective
299.41, 3.36, 1, 3, 3, 40.54, cns
590.8, 5.84, 4, 7, 13, 133.52, antiinfective
612.63, 3.63, 5, 11, 8, 200.01, antiinfective
811.88, 3.16, 4, 16, 9, 217.05, antineoplastic
370.36, 3.99, 1, 4, 3, 72.19, antineoplastic
688.72, -12.24, 16, 12, 10, 397.71, antiinfective
1620.69, -5.62, 22, 24, 35, 702.02, antiinfective
1101.44, 4.37, 4, 11, 13, 235.38, antiinfective
361.45, -1.07, 4, 6, 8, 132.12, antineoplastic
147.27, 1.3, 1, 1, 0, 3.24, antineoplastic
214.05, 1.16, 1, 3, 5, 61.77, antineoplastic
311.38, 1.75, 2, 4, 2, 52.93, cns
225.29, 1.13, 3, 4, 6, 61.72, cardio
203.24, 1.33, 0, 2, 1, 37.38, cns
333.43, 1.48, 2, 5, 2, 62.16, cns
761.85, 3.41, 4, 15, 3, 168.72, antineoplastic
423.73, 6.28, 0, 4, 7, 36.28, antiinfective
337.57, 5.56, 2, 3, 12, 32.26, cardio
173.17, -0.35, 3, 3, 2, 100.62, cns
364.41, 3.15, 2, 5, 6, 108.36, antiinfective
592.55, 3.3, 9, 12, 4, 209.76, antiinfective
323.44, 2.97, 2, 2, 6, 53.17, antiinfective
457.43, -3.11, 7, 12, 7, 202.32, antineoplastic
377.01, -0.97, 4, 6, 4, 101.23, antiinfective
274.41, 3.51, 1, 2, 4, 32.34, cns
186.24, -0.21, 2, 3, 2, 86.18, antiinfective
422.45, -2.22, 6, 9, 8, 215.67, antiinfective
511.52, 5.29, 0, 4, 10, 36.92, cardio
583.6, -8.37, 13, 15, 9, 339.59, antiinfective
225.27, 0.19, 1, 3, 4, 81.59, cns
244.29, 3.31, 0, 3, 3, 39.44, cardio
223.34, 2.7, 1, 3, 3, 29.1, cns
425.53, 3.7, 0, 4, 5, 43.86, cns
326.48, 4.42, 0, 2, 9, 23.55, cardio
543.53, 0.0, 6, 12, 5, 206.07, antineoplastic
347.54, 5.24, 2, 2, 16, 49.33, cardio
544.78, 6.52, 2, 4, 6, 64.68, cardio
809.86, 0.88, 4, 15, 9, 221.08, antineoplastic
242.63, -1.38, 1, 7, 3, 108.17, antineoplastic
420.52, 3.69, 4, 4, 0, 133.1, antiinfective
473.58, 2.38, 5, 4, 11, 142.83, cns
665.73, 0.12, 7, 13, 3, 230.99, antiinfective
412.64, 6.07, 0, 2, 11, 18.46, antiinfective
356.29, 0.77, 4, 8, 0, 133.52, antineoplastic
225.18, 0.14, 4, 3, 7, 120.85, cns
249.35, 2.15, 2, 3, 8, 41.49, cardio
717.94, 2.67, 4, 13, 7, 173.68, antiinfective
194.24, 2.97, 1, 2, 0, 38.91, antiinfective
346.34, -3.13, 6, 7, 7, 189.72, antiinfective
563.67, 6.12, 1, 6, 14, 110.21, cardio
425.51, 3.85, 1, 6, 4, 80.23, cardio
348.49, 6.1, 1, 1, 3, 37.3, antineoplastic
154.19, -0.12, 3, 2, 2, 68.1, cardio
341.43, 0.56, 2, 5, 6, 101.73, cns
1110.09, 5.57, 9, 20, 14, 354.89, antineoplastic
258.23, -2.54, 4, 7, 2, 124.78, antiinfective
1131.27, -1.32, 13, 23, 14, 388.04, cardio
639.83, 5.73, 2, 9, 3, 116.04, antiinfective
272.37, 1.09, 3, 4, 6, 78.43, cardio
703.71, 3.85, 6, 8, 4, 210.31, antineoplastic
254.33, 2.03, 2, 2, 1, 39.26, cns
425.57, 6.08, 0, 3, 7, 21.7, antineoplastic
318.5, 4.6, 1, 2, 1, 37.3, cns
281.35, 1.04, 2, 4, 3, 83.47, antiinfective
765.95, 5.11, 2, 12, 8, 162.82, antiinfective
765.95, 5.11, 2, 12, 8, 162.82, antiinfective
223.62, 1.88, 2, 2, 1, 70.16, cns
303.41, 4.48, 1, 1, 3, 41.62, cns
